"","Industry","Name","IUCN.system","EPBC.status","Seabird","IUCN.system2"
"1","Greater Gippsland","Gallinago Stenura","Terrestrial/Freshwater","Listed","Not seabird","Mixed"
"2","Greater Gippsland","Gallinago Megala","Terrestrial/Freshwater","Listed","Not seabird","Mixed"
"3","Greater Gippsland","Gallinago Hardwickii","Terrestrial/Freshwater","Listed","Not seabird","Mixed"
"4","Greater Gippsland","Plegadis Falcinellus","Terrestrial/Freshwater/Marine","Listed","Seabird","Mixed"
"5","Greater Gippsland","Pandion Haliaetus Cristatus","Terrestrial/Freshwater/Marine","Listed","Seabird","Mixed"
"6","Greater Gippsland","Apus Pacificus","Terrestrial","Listed","Not seabird","Terrestrial"
"7","Greater Gippsland","Pandion Haliaetus","Terrestrial/Freshwater/Marine","Listed","Seabird","Mixed"
"8","Greater Gippsland","Ardenna Grisea","Terrestrial/Marine","Listed","Seabird","Mixed"
"9","Greater Gippsland","Ardenna Tenuirostris","Terrestrial/Marine","Listed","Seabird","Mixed"
"10","Greater Gippsland","Ardenna Carneipes","Marine","Listed","Seabird","Marine"
"11","Greater Gippsland","Sterna Hirundo","Terrestrial/Freshwater/Marine","Listed","Seabird","Mixed"
"12","Greater Gippsland","Diomedea Sanfordi","Terrestrial/Marine","Vulnerable","Seabird","Mixed"
"13","Greater Gippsland","Diomedea Antipodensis","Terrestrial/Marine","Vulnerable","Seabird","Mixed"
"14","Greater Gippsland","Thalassarche Salvini","Terrestrial/Marine","Vulnerable","Seabird","Mixed"
"15","Greater Gippsland","Thalassarche Steadi","Terrestrial/Marine","Vulnerable","Seabird","Mixed"
"16","Greater Gippsland","Thalassarche Impavida","Terrestrial/Marine","Vulnerable","Seabird","Mixed"
"17","Greater Gippsland","Philomachus Pugnax","Terrestrial/Freshwater/Marine","Listed","Seabird","Mixed"
"18","Greater Gippsland","Chlidonias Leucopterus","Terrestrial/Freshwater/Marine","Listed","Seabird","Mixed"
"19","Greater Gippsland","Thalasseus Bergii","Terrestrial/Marine","Listed","Seabird","Mixed"
"20","Greater Gippsland","Charadrius Bicinctus","Terrestrial/Freshwater/Marine","Listed","Seabird","Mixed"
"21","Greater Gippsland","Charadrius Veredus","Terrestrial/Freshwater/Marine","Listed","Seabird","Mixed"
"22","Greater Gippsland","Numenius Minutus","Terrestrial/Freshwater","Listed","Not seabird","Mixed"
"23","Greater Gippsland","Calidris Ruficollis","Terrestrial/Marine","Listed","Seabird","Mixed"
"24","Greater Gippsland","Calidris Acuminata","Terrestrial/Freshwater/Marine","Listed","Seabird","Mixed"
"25","Greater Gippsland","Calidris Alba","Terrestrial/Freshwater/Marine","Listed","Seabird","Mixed"
"26","Greater Gippsland","Calidris Melanotos","Terrestrial/Freshwater/Marine","Listed","Seabird","Mixed"
"27","Greater Gippsland","Motacilla Flava","Terrestrial/Freshwater","Listed","Not seabird","Mixed"
"28","Greater Gippsland","Rhipidura Rufifrons","Terrestrial","Listed","Not seabird","Terrestrial"
"29","Greater Gippsland","Myiagra Cyanoleuca","Terrestrial","Listed","Not seabird","Terrestrial"
"30","Greater Gippsland","Monarcha Melanopsis","Terrestrial","Listed","Not seabird","Terrestrial"
"31","Greater Gippsland","Arctocephalus Forsteri","Marine","Listed","Not seabird","Marine"
"32","Greater Gippsland","Balaenoptera Borealis","Marine","Vulnerable","Not seabird","Marine"
"33","Greater Gippsland","Balaenoptera Musculus","Marine","Endangered","Not seabird","Marine"
"34","Greater Gippsland","Balaenoptera Physalus","Marine","Vulnerable","Not seabird","Marine"
"35","Greater Gippsland","Caperea Marginata","Marine","Listed","Not seabird","Marine"
"36","Greater Gippsland","Eubalaena Australis","Marine","Endangered","Not seabird","Marine"
"37","Greater Gippsland","Megaptera Novaeangliae","Marine","Listed","Not seabird","Marine"
"38","Greater Gippsland","Orcinus Orca","Marine","Listed","Not seabird","Marine"
"39","Greater Gippsland","Lagenorhynchus Obscurus","Marine","Listed","Not seabird","Marine"
"40","Greater Gippsland","Caretta Caretta","Terrestrial/Marine","Endangered","Not seabird","Mixed"
"41","Greater Gippsland","Chelonia Mydas","Terrestrial/Marine","Vulnerable","Not seabird","Mixed"
