,node
0,Construction
1,Cable installation
2,Equipment transport
3,Foundation installation
4,Offshore substation installation
5,Onshore cable installation
6,Onshore substation installation
7,Site selection and survey
8,Turbine installation
9,Air pollution
10,Electro-magnetic fields
11,Habitat disturbance
12,Hydrodynamic disturbance
13,Invasive species
14,Light pollution
15,Noise pollution
16,Nutrient/chemical/sediment pollution
17,Vessel strikes
18,Visual disturbance
19,Human health
20,Social assets
21,Ecosystem health
22,Cultural heritage
