Wind_Farm,,Common_name,Name,Number,EPBC_Status,FFG_Status,Bioregional_conservation_status,Type,Report_Table_Num,Potential_Impact,Potential_Impact_Significance,Notes
Greater Gippsland,,Aboriginal Ancestral Remains (Burials),,2,,,,Registered Aboriginal Places within the Study Area,16,,,
Greater Gippsland,,Artefact Scatter,,53,,,,Registered Aboriginal Places within the Study Area,16,,,
Greater Gippsland,,Earth Feature (Soil Deposit),,3,,,,Registered Aboriginal Places within the Study Area,16,,,
Greater Gippsland,,Low Density Artefact Distribution,,68,,,,Registered Aboriginal Places within the Study Area,16,,,
Greater Gippsland,,Scarred Tree,,5,,,,Registered Aboriginal Places within the Study Area,16,,,
Greater Gippsland,,Shell Midden,,13,,,,Registered Aboriginal Places within the Study Area,16,,,
Greater Gippsland,,Total,,157,,,,Registered Aboriginal Places within the Study Area,16,,,
Greater Gippsland,,Pin-tailed Snipe,Gallinago stenura,,,,,Migratory EPBC Act species that are predicted to occur within the search area,11,,,
Greater Gippsland,,Swinhoe's Snipe,Gallinago megala,,,,,Migratory EPBC Act species that are predicted to occur within the search area,11,,,
Greater Gippsland,,Latham's Snipe,Gallinago hardwickii,,,,,Migratory EPBC Act species that are predicted to occur within the search area,11,,,
Greater Gippsland,,Glossy Ibis,Plegadis falcinellus,,,,,Migratory EPBC Act species that are predicted to occur within the search area,11,,,
Greater Gippsland,,Eastern Osprey,Pandion cristatus,,,,,Migratory EPBC Act species that are predicted to occur within the search area,11,,,
Greater Gippsland,,Fork-tailed Swift,Apus pacificus,,,,,Migratory EPBC Act species that are predicted to occur within the search area,11,,,
Greater Gippsland,,Osprey,Pandion haliaetus,,,,,Migratory EPBC Act species that are predicted to occur within the search area,11,,Not Significant,
Greater Gippsland,,Sooty Shearwater,Ardenna grisea,,,,,Migratory EPBC Act species that are predicted to occur within the search area,11,,,
Greater Gippsland,,Short-tailed Shearwater,Ardenna tenuirostris,,,,,Migratory EPBC Act species that are predicted to occur within the search area,11,,,
Greater Gippsland,,Flesh-footed Shearwater,Ardenna cameipes,,,,,Migratory EPBC Act species that are predicted to occur within the search area,11,,,
Greater Gippsland,,Common Tern,Sterna hirundo,,,,,Migratory EPBC Act species that are predicted to occur within the search area,11,,,
Greater Gippsland,,Northern Royal Albatross,Diomedea antipodensis,,,,,Migratory EPBC Act species that are predicted to occur within the search area,11,,Potentially significant,SHOULD BE Diomedea exulans? But this is wandering albatross?
Greater Gippsland,,New Zealand Wandering Albatross,Diomedea antipodensis,,,,,Migratory EPBC Act species that are predicted to occur within the search area,11,,,SHOULD BE Diomedea exulans? But this is wandering albatross?
Greater Gippsland,,Salvin's Albatross,Thalassarche salvini,,,,,Migratory EPBC Act species that are predicted to occur within the search area,11,,Not Significant,
Greater Gippsland,,White-capped Albatross,Thalassarche steadi,,,,,Migratory EPBC Act species that are predicted to occur within the search area,11,Likely,,
Greater Gippsland,,Campbell Albatross,Thalassarche impavida,,,,,Migratory EPBC Act species that are predicted to occur within the search area,11,,,
Greater Gippsland,,Ruff (Reeve),Philomachus pugnax,,,,,Migratory EPBC Act species that are predicted to occur within the search area,11,,,
